country_name,region,happiness_score,log_gdp_per_capita,social_support,life_expectancy,freedom,generosity,perception_of_corruption
Burkina Faso,Africa,4.637599945068359,7.666715621948242,0.6634751558303833,55.461307525634766,0.696463406085968,0.0953673347830772,0.7713660597801208
Cambodia,Asia & Pacific,4.393499851226807,8.384782791137695,0.7465294599533081,61.89963150024414,0.9584201574325562,0.0733139291405677,0.8572046160697937
Cameroon,Africa,4.973199844360352,8.21674919128418,0.6862311959266663,55.84713745117188,0.6862788796424866,0.0147625766694545,0.8463644981384277
Canada,North America,6.960700035095215,10.772655487060549,0.9287933111190796,71.40003967285156,0.8744681477546692,0.1525465101003646,0.4202114045619964
Chad,Africa,4.396599769592285,7.261128902435303,0.7220418453216553,53.125,0.6767348647117615,0.2211616784334182,0.8067120909690857
Chile,South/Latin America,6.333799839019775,10.113971710205078,0.8891310691833496,70.2998275756836,0.7922620177268982,-0.0110291121527552,0.8227498531341553
China,Asia & Pacific,5.81790018081665,9.738065719604492,0.8356984853744507,68.68879699707031,0.8818911910057068,-0.0407825037837028,0.7272279858589172
Colombia,South/Latin America,5.63040018081665,9.584429740905762,0.8216689825057983,69.34968566894531,0.8042616844177246,-0.1043145880103111,0.83354651927948
Comoros,Arab States,3.5452001094818115,8.074591636657715,0.470725268125534,59.42499923706055,0.4698722958564758,-0.0142812309786677,0.7269982695579529
Congo Brazzaville,Africa,5.267099857330322,8.095203399658203,0.6046052575111389,56.85004425048828,0.7300418019294739,-0.0043394467793405,0.7391861081123352
Congo Kinshasa,Africa,3.207200050354004,7.00667142868042,0.6516097784042358,55.375,0.6637976765632629,0.0859979018568992,0.833751916885376
Costa Rica,South/Latin America,6.608500003814697,9.951566696166992,0.8716379404067993,70.0,0.8950209617614746,-0.0698049068450927,0.767810046672821
Croatia,Europe,6.125,10.340739250183104,0.9171806573867798,68.94998168945312,0.7571233510971069,-0.0926464051008224,0.9252828359603882
Cyprus,Europe,6.130000114440918,10.6112060546875,0.8260807394981384,72.80194091796875,0.7238736748695374,-0.0600265711545944,0.8597859740257263
Czech Republic,Europe,6.845200061798096,10.6110200881958,0.9525779485702516,69.04974365234375,0.90251487493515,0.039763081818819,0.8589491844177246
Côte D'Ivoire,Africa,5.052700042724609,8.576385498046875,0.5723483562469482,55.95271301269531,0.7326547503471375,0.0028205241542309,0.7458509802818298
Denmark,Europe,7.586400032043457,10.962163925170898,0.9541122317314148,71.2501449584961,0.9335328340530396,0.1342421621084213,0.1958138942718505
Dominican Republic,South/Latin America,5.568900108337402,9.810591697692873,0.8270636200904846,64.39896392822266,0.8500227928161621,-0.0987941995263099,0.6567947268486023
Ecuador,South/Latin America,5.558899879455566,9.270211219787598,0.8057536482810974,69.0002212524414,0.8022295236587524,-0.1076728552579879,0.8325657844543457
Egypt,Middle east,4.170499801635742,9.366826057434082,0.726098895072937,63.50303649902344,0.732426106929779,-0.1829059422016143,0.5802462100982666
El Salvador,South/Latin America,6.121600151062012,9.089116096496582,0.7547428011894226,65.59691619873047,0.9175320863723756,-0.1079049557447433,0.6196134686470032
Estonia,Europe,6.4552001953125,10.541337966918944,0.945625901222229,69.6501693725586,0.9287907481193542,0.0317642949521541,0.4094670116901397
Ethiopia,Africa,4.09060001373291,7.738730430603027,0.7824801206588745,60.69827651977539,0.7202762365341187,0.2733151912689209,0.7886511087417603
Finland,Europe,7.804200172424316,10.792010307312012,0.9687696099281312,71.14999389648438,0.9614078998565674,-0.0188241656869649,0.1817445605993271
France,Europe,6.661300182342529,10.700735092163086,0.9088037610054016,72.30005645751953,0.818730354309082,-0.1002898514270782,0.5526185035705566
Gabon,Africa,5.0346999168396,9.537482261657717,0.7455086708068848,58.25178909301758,0.6417741179466248,-0.187012106180191,0.7863147854804993
Gambia,Africa,4.279399871826172,7.6478166580200195,0.5842756032943726,57.900001525878906,0.5964681506156921,0.3642035126686096,0.8826649188995361
Georgia,Europe,5.109099864959717,9.646263122558594,0.7161714434623718,64.95006561279297,0.7864701747894287,-0.2542763352394104,0.6488924622535706
Germany,Europe,6.8917999267578125,10.878609657287598,0.8959547877311707,71.29983520507812,0.845851480960846,0.0300377290695905,0.4195641279220581
Ghana,Africa,4.605000019073486,8.595744132995605,0.6406720876693726,58.76277542114258,0.7769143581390381,0.1392538547515869,0.8805339336395264
Greece,Europe,5.930900096893311,10.288155555725098,0.8349514007568359,71.14976501464844,0.5679218173027039,-0.2395679205656051,0.7932218313217163
Guatemala,South/Latin America,6.150300025939941,9.11570930480957,0.8117339015007019,62.900001525878906,0.8559675216674805,-0.0572603940963745,0.8365757465362549
Guinea,Africa,5.071700096130371,7.880491733551025,0.6486329436302185,54.185394287109375,0.6587153673171997,0.1252006888389587,0.7869686484336853
Honduras,South/Latin America,6.022500038146973,8.635234832763672,0.7655693888664246,64.0630111694336,0.8426064848899841,0.0973521620035171,0.8429010510444641
Hong Kong,Asia & Pacific,5.308499813079834,10.966443061828612,0.8169247508049011,77.27977752685547,0.6873374581336975,-0.0258915331214666,0.3846096694469452
Hungary,Europe,6.041200160980225,10.418682098388672,0.9426373243331908,67.50045013427734,0.7578166723251343,-0.0591716542840004,0.8388599753379822
Iceland,Europe,7.529600143432617,10.895530700683594,0.9825330972671508,72.05001831054688,0.9363492131233216,0.2109865397214889,0.6678478121757507
India,Asia & Pacific,4.035799980163574,8.758988380432129,0.6082374453544617,60.77688217163086,0.896719217300415,0.0717499554157257,0.7735828757286072
Indonesia,Asia & Pacific,5.276899814605713,9.38515567779541,0.803985059261322,63.04774475097656,0.8801135420799255,0.5313863158226013,0.8759906888008118
Iran,Middle east,4.876299858093262,9.610322952270508,0.777547299861908,66.59994506835938,0.592562198638916,0.1729328036308288,0.7470312714576721
Iraq,Middle east,4.940899848937988,9.098432540893556,0.7184528112411499,63.41473388671875,0.6457712054252625,-0.0053996844217181,0.8762640357017517
Ireland,Europe,6.910799980163574,11.527361869812012,0.905368447303772,71.29995727539062,0.8743810653686523,0.0916595235466957,0.3579522371292114
Israel,Middle east,7.472899913787842,10.638705253601074,0.943343997001648,72.69720458984375,0.8088658452033997,-0.0230800509452819,0.7080935835838318
Italy,Europe,6.4045000076293945,10.634051322937012,0.881569504737854,72.05000305175781,0.7105135917663574,-0.0735428035259246,0.8417539000511169
Jamaica,South/Latin America,5.702700138092041,9.16460132598877,0.8673140406608582,66.5999984741211,0.8223790526390076,-0.1062569320201873,0.8750672340393066
Japan,Asia & Pacific,6.129000186920166,10.615657806396484,0.8941164612770081,74.3494644165039,0.7994951009750366,-0.2369365394115448,0.6399160623550415
Jordan,Middle east,4.119800090789795,9.13038158416748,0.7292184233665466,67.5999984741211,0.7701277136802673,-0.1498849242925644,0.6872015595436096
Kazakhstan,Asia & Pacific,6.143899917602539,10.16606616973877,0.9314469695091248,65.8017349243164,0.8532366156578064,-0.0004826637741643,0.7214602828025818
Kenya,Africa,4.486599922180176,8.458258628845215,0.6900045871734619,58.49850845336914,0.6955903768539429,0.2881151735782623,0.8524206876754761
Kosovo,Europe,6.367599964141846,9.359097480773926,0.8437927961349487,65.19499206542969,0.861473560333252,0.2587166726589203,0.8661229014396667
Kyrgyzstan,Asia & Pacific,5.825300216674805,8.485833168029785,0.911150336265564,66.85247039794922,0.93429297208786,0.1813510954380035,0.9037905335426332
Laos,Asia & Pacific,5.110700130462647,8.962409019470215,0.6789469718933105,60.945587158203125,0.9188553094863892,0.0909888669848442,0.7025218605995178
Latvia,Europe,6.212699890136719,10.370321273803713,0.9371284246444702,66.4003677368164,0.8176073431968689,-0.0555824823677539,0.8302519917488098
Lebanon,Middle east,2.392199993133545,9.47767734527588,0.5297536849975586,66.14881896972656,0.4739002883434295,-0.1409149914979934,0.8911038637161255
Liberia,Africa,4.042300224304199,7.27675199508667,0.5963802337646484,56.70000076293945,0.7352649569511414,0.1543213427066803,0.8300513029098511
Lithuania,Europe,6.763000011444092,10.567838668823242,0.9393466114997864,67.3969955444336,0.7478520274162292,-0.1452128291130066,0.8050867319107056
Luxembourg,Europe,7.22790002822876,11.65994930267334,0.878500759601593,71.67500305175781,0.9149384498596193,0.0239496231079101,0.3449783027172088
Macedonia,Europe,5.253600120544434,9.703169822692873,0.8047484159469604,66.50035095214844,0.7689635753631592,0.1312396973371505,0.9017152786254884
Madagascar,Africa,4.019100189208984,7.290209770202637,0.6498976349830627,58.04999923706055,0.5218921303749084,0.0754376798868179,0.7418231964111328
Malawi,Africa,3.495199918746948,7.301522731781006,0.5307964086532593,58.475345611572266,0.7500357627868652,0.0051932921633124,0.748948872089386
Malaysia,Asia & Pacific,6.01230001449585,10.169085502624512,0.7986076474189758,65.66233825683594,0.876727819442749,0.1595873385667801,0.7584688663482666
Mali,Africa,4.197800159454346,7.655168056488037,0.5934811234474182,55.40291976928711,0.7128318548202515,-0.0282113049179315,0.8460237383842468
Malta,Europe,6.299900054931641,10.660865783691406,0.922677516937256,71.60003662109375,0.8856375217437744,0.1193149834871292,0.7288661599159241
